title,15.19,15.51,14,15
title,15.56,16.51,17,16
title,16.53,17.32,15,16
title,17.55,18.23,13,14
title,18.25,18.48,15,15
title,18.62,20.57,12,12
title,22.38,22.66,14,14
title,22.71,22.99,16,17
title,23.13,23.31,18,17
title,23.45,23.71,16,15
title,23.73,24.66,14,15
title,25.26,25.57,18,18
title,25.82,27.61,20,20
title,29.26,29.40,16,16
title,29.44,30.91,18,17
title,30.93,31.74,16,17
title,31.90,32.62,14,15
title,32.65,34.71,17,16
title,36.36,36.52,12,12
title,36.55,36.92,14,15
title,37.01,37.92,17,17
title,37.94,38.73,14,15
title,39.20,39.71,11,12
title,39.75,41.94,13,13
title,43.42,43.70,19,20
title,43.79,44.12,21,21
title,44.16,44.74,23,22
title,44.91,45.44,21,20
title,45.88,46.00,17,18
title,46.02,46.37,19,18
title,46.39,47.04,17,18
title,47.23,49.02,20,20
title,50.81,50.94,17,18
title,50.99,51.80,20,21
title,52.11,52.22,17,17
title,52.29,52.45,19,19
title,52.57,52.87,17,17
title,53.03,54.61,15,16
title,55.22,57.00,20,20
title,57.72,58.07,16,15
title,58.14,58.89,18,19
title,59.21,60.02,16,16
title,60.14,60.19,14,14
title,60.23,60.72,16,15
title,60.74,60.98,14,15
title,61.16,61.63,17,17
title,62.00,62.09,14,14
title,62.18,62.51,16,16
title,62.79,63.34,18,18
title,63.76,63.88,21,22
title,63.90,64.90,23,24
title,65.06,65.41,21,21
title,65.48,65.57,19,19
title,65.62,65.83,21,21
title,65.90,66.59,23,24
title,66.83,67.36,21,22
title,67.38,67.62,23,24
title,67.71,68.01,25,26
title,68.03,68.48,27,27
title,68.64,68.75,24,25
title,68.78,70.61,26,26
title,70.68,71.80,28,28
title,72.91,72.93,18,18
title,72.96,73.42,20,21
title,73.47,74.47,22,23
title,74.81,75.16,25,25
title,75.23,75.70,25,25
title,75.74,75.81,23,23
title,75.84,76.95,25,25
title,77.42,77.74,21,22
title,77.88,78.44,24,25
title,78.90,78.97,23,23
title,78.99,79.25,25,25
title,79.32,79.48,23,23
title,79.60,79.76,25,26
title,79.78,80.27,27,27
title,80.85,81.76,22,22
title,81.87,83.01,23,23
title,83.03,84.22,25,26
title,84.94,85.33,26,27
title,85.36,85.61,28,28
title,85.73,85.87,26,26
title,85.91,85.94,28,28
title,86.05,86.08,27,27
title,86.10,87.01,25,24
title,87.03,87.05,23,23
title,87.07,87.28,25,25
title,87.45,87.86,22,23
title,88.00,88.58,24,25
title,88.61,88.77,26,25
title,88.84,89.14,24,25
title,89.26,90.81,25,26
title,90.84,91.58,27,26
title,91.77,92.21,24,25
title,92.23,92.95,26,25
title,93.25,93.37,23,24
title,93.39,93.62,25,25
title,93.72,93.97,23,24
title,93.99,94.09,28,28
title,94.18,94.27,21,21
title,94.32,94.53,23,23
title,94.64,95.34,21,20
title,95.48,95.55,26,26
title,95.57,96.43,28,27
title,96.46,96.53,26,26
title,96.55,98.62,28,28
title,98.68,100.87,28,28
title,102.26,102.63,17,18
title,102.82,102.91,23,23
title,102.96,103.12,26,25
title,103.24,103.33,23,23
title,103.38,104.05,25,25
title,104.49,104.61,21,22
title,104.63,105.58,24,23
title,106.12,106.46,21,22
title,106.49,106.90,23,24
title,106.95,107.18,25,26
title,107.28,107.60,27,27
title,107.69,107.81,23,24
title,107.83,108.04,25,24
title,108.07,108.86,23,23
title,109.41,109.53,20,20
title,109.60,109.85,22,22
title,109.92,109.99,20,20
title,110.06,119.23,22,22
title,127.71,128.13,17,18
title,128.31,128.94,19,18
title,129.10,130.05,17,17
title,130.45,131.03,14,15
title,131.05,135.16,16,15
title,135.19,135.51,14,15
title,135.60,135.86,16,17
title,135.88,136.09,18,18
title,136.30,137.30,15,14
title,137.65,137.83,11,11
title,138.02,140.34,13,12
title,141.87,142.20,19,19
title,142.29,143.20,22,22
title,143.41,144.34,19,19
title,145.22,145.61,17,17
title,145.77,146.63,20,21
title,146.70,148.00,22,22
title,149.30,149.33,4,4
title,149.35,149.75,18,19
title,149.86,151.16,20,19
title,151.49,153.32,16,17
title,153.72,154.32,20,19
title,156.22,156.27,20,20
title,156.32,156.64,16,17
title,156.69,157.59,18,18
title,157.80,159.59,15,14
title,159.66,160.19,17,17
title,160.45,160.59,14,14
title,160.64,160.98,16,16
title,161.29,161.98,18,19
title,162.17,162.21,27,27
title,162.26,162.33,21,22
title,162.35,162.91,23,24
title,162.96,163.35,25,24
title,163.56,163.61,19,19
title,163.65,164.37,21,22
title,164.44,165.30,23,22
title,165.33,165.63,21,21
title,165.88,166.05,24,24
title,166.25,166.32,24,24
title,166.35,167.09,26,26
title,167.18,167.30,24,25
title,167.32,167.67,26,27
title,167.83,169.32,26,26
title,169.64,169.74,21,20
title,169.78,169.85,19,19
title,169.92,170.18,21,21
title,170.71,170.81,21,21
title,170.85,171.20,23,23
title,171.41,172.38,25,25
title,172.48,172.52,23,23
title,172.57,172.69,25,25
title,172.76,172.83,27,26
title,172.85,173.64,25,24
title,174.10,174.13,28,28
title,174.15,174.66,21,22
title,174.89,175.15,25,25
title,175.59,175.71,23,24
title,175.73,175.96,25,25
title,176.01,176.31,23,24
title,176.33,176.49,25,26
title,176.52,176.89,27,26
title,177.59,178.52,21,21
title,178.61,179.75,23,23
title,179.77,181.81,25,26
title,181.91,182.60,27,26
title,182.88,183.00,24,25
title,183.02,183.18,27,26
title,183.25,183.55,25,25
title,183.72,183.81,23,23
title,183.86,184.02,25,25
title,184.23,184.27,21,21
title,184.32,185.13,23,24
title,185.16,187.99,25,26
title,188.59,188.78,23,24
title,188.87,189.36,25,26
title,189.38,189.57,27,26
title,189.99,190.12,23,24
title,190.17,190.43,25,24
title,190.54,190.71,24,24
title,190.87,191.47,22,21
title,191.52,192.03,20,20
title,192.21,192.24,28,28
title,192.26,192.33,26,26
title,192.35,193.17,28,27
title,193.19,193.26,26,26
title,193.28,194.68,28,28
title,194.77,194.89,28,28
title,194.95,195.07,28,28
title,195.14,195.44,28,28
title,195.79,195.86,26,26
title,195.88,196.14,28,27
title,196.21,196.23,25,25
title,196.26,196.30,23,23
title,196.35,196.51,25,25
title,196.53,196.84,28,28
title,197.14,197.25,20,21
title,197.28,199.02,22,23
title,199.09,199.18,25,25
title,199.23,199.51,27,27
title,199.78,199.81,24,24
title,199.83,202.29,26,26
title,202.90,203.34,28,28
title,203.41,203.48,24,25
title,203.50,204.17,26,26
title,204.24,204.29,28,28
title,204.34,204.38,23,23
title,204.43,204.66,25,25
title,204.75,204.85,23,23
title,204.94,205.10,25,25
title,206.61,206.77,22,23
title,206.80,207.21,24,25
title,207.26,207.35,26,26
title,207.45,207.75,24,23
title,208.05,208.65,23,22
title,208.75,208.79,27,27
title,208.84,209.35,22,23
title,209.40,210.07,25,25
title,210.19,210.33,23,24
title,210.37,210.63,25,25
title,210.74,211.00,25,25
title,211.35,211.39,25,25
title,211.67,213.16,25,25
title,216.27,216.29,23,23
title,216.32,216.53,19,20
title,216.55,216.76,21,21
title,216.87,216.90,23,23
title,216.92,217.18,21,22
title,217.29,217.97,23,24
title,217.99,218.57,25,25
title,219.06,219.20,23,23
title,219.29,219.36,26,26
title,219.43,219.48,24,24
title,219.52,220.22,26,25
title,220.82,221.24,22,23
title,221.33,222.35,24,23
title,222.49,222.61,26,26
title,222.73,222.80,23,23
title,222.87,222.89,25,25
title,223.05,223.52,26,26
title,223.61,223.65,4,4
title,223.70,224.28,25,25
title,224.54,224.82,21,22
title,225.00,225.07,21,21
title,225.09,226.51,23,23
title,226.77,228.41,25,26
title,228.53,229.30,27,27
title,229.37,229.44,24,25
title,229.46,230.16,26,25
title,230.48,230.64,25,25
title,230.81,231.69,22,23
title,231.74,232.22,25,25
title,232.29,233.24,27,26
title,233.41,233.76,25,26
title,233.96,234.57,26,26
title,235.08,235.33,23,24
title,235.40,235.43,26,26
title,235.64,235.89,25,26
title,235.96,236.38,27,26
title,236.52,236.73,24,25
title,236.75,236.87,26,26
title,236.98,237.35,23,23
title,237.63,237.87,23,23
title,238.10,238.63,20,21
title,238.75,238.86,25,26
title,238.89,242.30,27,28
title,242.42,242.49,28,28
title,242.60,242.74,28,28
title,243.25,243.30,28,28
title,245.48,245.85,18,18
title,245.99,246.06,23,23
title,246.09,247.39,25,25
title,247.76,248.04,22,22
title,248.22,248.87,24,24
title,249.38,249.78,22,23
title,249.80,250.50,24,25
title,250.64,250.87,27,27
title,251.10,251.31,24,25
title,251.33,251.50,26,26
title,251.66,252.70,23,23
title,253.70,253.96,20,21
title,253.98,255.00,22,22
